"","mu","N","theta","c","comp","n","probWTWin"
"318",1e-07,10000,0.001,0.1,0.5,50,0.0702935401516758
"319",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.5,50,0.0776304820038202
"320",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.5,50,0.0866907514442364
"321",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.5,50,0.097294117409396
"322",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.5,50,0.110617790605557
"323",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.5,50,0.126195301587705
"324",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.5,50,0.144738608596657
"325",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.5,50,0.167247118141837
"326",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.5,50,0.193958641162612
"327",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.5,50,0.224605591422328
"328",1e-06,10000,0.01,0.1,0.5,50,0.25974293376625
"329",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.5,50,0.2999838326335
"330",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.5,50,0.345971980305041
"331",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.5,50,0.398317526605269
"332",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.5,50,0.454436824767349
